Date,Description,Amount,Category,Type
15-01-2024,Swiggy Food Order,450,Food & Dining,Expense
16-01-2024,Uber Ride to Office,120,Transportation,Expense
17-01-2024,Salary Credit,45000,Salary,Income
18-01-2024,Amazon Shopping,2500,Shopping,Expense
19-01-2024,Netflix Subscription,199,Entertainment,Expense
20-01-2024,Petrol Fill,800,Transportation,Expense
21-01-2024,Zomato Food Delivery,320,Food & Dining,Expense
22-01-2024,ATM Withdrawal,2000,Cash,Expense
23-01-2024,Phone Bill Payment,599,Utilities,Expense
24-01-2024,BookMyShow Movie Tickets,400,Entertainment,Expense
25-01-2024,Grocery Shopping at BigBazaar,1200,Food & Dining,Expense
26-01-2024,Metro Card Recharge,500,Transportation,Expense
27-01-2024,Online Course Purchase,2500,Education,Expense
28-01-2024,Restaurant Dinner,800,Food & Dining,Expense
29-01-2024,Medicine Purchase,350,Healthcare,Expense
